,id,instrument,instrument_id,k,currency,currency_base,Cashflow,Cashflow_Type,Maturity_Amount,Face_value,curve,current_date,Cash_flow_Dates,holiday,Actual_Cash_flow_date,maturity_date,frequency,residual_maturity_expected,residual_maturity_Actual,lower_tenor,upper_tenor,lower_tenor_val,upper_tenor_val,lower_maturity,upper_maturity,split_curve,accounting_book,accounting_portfolio,mark_up_value,intbasis,key,c_date,m_date_E,m_date_A,lower_tenor_key,upper_tenor_key,lower_rates,upper_rates,Interpolated_rates,spread_rates,YTM,maturity_period_E,maturity_period_A,no_of_days_in_a_year,cashflow_mtm,variable,value,interpolated_curve_rates,spreads_all,env,all_mtm
3137,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,125,6.386832472250154,5.113846153846154,1.272986318404,125,4871.909305689054
3138,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,126,6.490239065656747,5.217252747252747,1.272986318404,126,4869.925684642608
3139,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,127,6.358554902463264,5.093736263736264,1.264818638727,127,4872.452223247177
3140,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,128,6.408554902463265,5.1437362637362645,1.264818638727,128,4871.49238314811
3141,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,129,6.395368089276451,5.13054945054945,1.264818638727,129,4871.745465636111
3142,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,130,6.366722582140264,5.093736263736264,1.272986318404,130,4872.295386162805
3143,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,131,6.25647725360523,5.1207692307692305,1.135708022836,131,4874.413777305421
3144,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,132,6.446612692030374,5.173626373626374,1.272986318404,132,4870.762224206885
3145,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,133,6.332181276089638,5.0673626373626375,1.264818638727,133,4872.958770544461
3146,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,134,6.277167524917483,5.1535164835164835,1.123651041401,134,4874.015970938886
